Index,DateTime,Latitude,Longitude,Elevation,Velocity,MainPackSOC,MainPackVoltage,MainPackCurrent,ArrayCurrent,Identity,Array Power,Battery Power,Motor Power
635253168147152000,1/14/2014 5:20:14 PM,4435.192,9258.9527,310.2,43,31,97.2,-6.32,6.3548,118719,617.68656,-614.304,1231.99056
635253168157292000,1/14/2014 5:20:15 PM,4435.2001,9258.962,310.6,44,31,97.2,-6.88,6.0566,118720,588.70152,-668.736,1257.43752
635253168167453000,1/14/2014 5:20:16 PM,4435.2084,9258.9714,310.8,44,31,97.5,-3.88,6.2154,118721,606.0015,-378.3,984.3015
635253168177564000,1/14/2014 5:20:17 PM,4435.2167,9258.9807,311.1,44,31,97.5,1.93,6.2154,118722,606.0015,188.175,417.8265
635253168187704000,1/14/2014 5:20:18 PM,4435.2167,9258.9807,311.5,44,31,97.5,2.55,6.2154,118723,606.0015,248.625,357.3765
635253168197855000,1/14/2014 5:20:19 PM,4435.2336,9258.999,311.9,44,31,97.8,2.93,6.1995,118724,606.3111,286.554,319.7571
635253168207995000,1/14/2014 5:20:20 PM,4435.2421,9259.0079,312.3,44,31,97.8,1.75,6.1995,118725,606.3111,171.15,435.1611
635253168218126000,1/14/2014 5:20:21 PM,4435.2507,9259.0166,312.8,43,31,97.5,-5.85,6.2154,118726,606.0015,-570.375,1176.3765
635253168228276000,1/14/2014 5:20:22 PM,4435.2592,9259.0252,313.2,43,31,97.5,-5.2,6.2154,118727,606.0015,-507,1113.0015
635253168238397000,1/14/2014 5:20:23 PM,4435.2592,9259.0252,313.5,43,31,97.5,-5.2,6.2154,118728,606.0015,-507,1113.0015
635253168255448000,1/14/2014 5:20:25 PM,4435.285,9259.0503,313.8,43,31,97.5,-1.67,6.2154,118729,606.0015,-162.825,768.8265
635253168258688000,1/14/2014 5:20:25 PM,4435.285,9259.0503,313.8,43,31,97.5,-4.45,6.1744,118730,602.004,-433.875,1035.879
635253168268909000,1/14/2014 5:20:26 PM,4435.2937,9259.0582,313.7,43,31,97.5,-5,6.1744,118731,602.004,-487.5,1089.504
635253168278989000,1/14/2014 5:20:27 PM,4435.3026,9259.0659,314.1,44,31,97.5,-4.52,6.1744,118732,602.004,-440.7,1042.704
635253168289120000,1/14/2014 5:20:28 PM,4435.3116,9259.0734,314.6,43,31,97.5,-3.27,6.1744,118733,602.004,-318.825,920.829
635253168299271000,1/14/2014 5:20:29 PM,4435.3206,9259.0807,315.3,44,31,97.5,-1.45,6.1744,118734,602.004,-141.375,743.379
635253168309471000,1/14/2014 5:20:30 PM,4435.3297,9259.0881,315.4,43,31,97.5,-0.6,6.1744,118735,602.004,-58.5,660.504
635253168319632000,1/14/2014 5:20:31 PM,4435.3388,9259.0954,315.8,43,31,97.8,1.25,6.1586,118736,602.31108,122.25,480.06108
635253168329672000,1/14/2014 5:20:32 PM,4435.3479,9259.1025,316,43,31,97.8,0.65,6.1586,118737,602.31108,63.57,538.74108
635253168339803000,1/14/2014 5:20:33 PM,4435.357,9259.1096,316,43,31,97.8,0.65,6.1586,118738,602.31108,63.57,538.74108
635253168349974000,1/14/2014 5:20:34 PM,4435.3661,9259.1165,316.1,43,31,97.5,-0.75,6.1744,118739,602.004,-73.125,675.129
635253168360114000,1/14/2014 5:20:36 PM,4435.3752,9259.1233,316.1,43,31,97.5,-1.95,6.1744,118740,602.004,-190.125,792.129
635253168370225000,1/14/2014 5:20:37 PM,4435.3843,9259.1301,315.9,43,31,97.5,-3.25,6.1744,118741,602.004,-316.875,918.879
635253168380375000,1/14/2014 5:20:38 PM,4435.3933,9259.1368,315.7,43,31,97.5,-5.65,6.1744,118742,602.004,-550.875,1152.879
635253168390516000,1/14/2014 5:20:39 PM,4435.4024,9259.1436,315.7,43,31,97.5,-5.65,6.1744,118743,602.004,-550.875,1152.879
635253168400646000,1/14/2014 5:20:40 PM,4435.4115,9259.1504,316,43,31,97.5,-5.88,6.1744,118744,602.004,-573.3,1175.304
635253168418837000,1/14/2014 5:20:41 PM,4435.4297,9259.1639,316.3,43,31,97.5,-5.12,6.1744,118745,602.004,-499.2,1101.204
635253168421008000,1/14/2014 5:20:42 PM,4435.4297,9259.1639,316.3,43,31,97.5,-5.35,6.4821,118746,632.00475,-521.625,1153.62975
635253168431058000,1/14/2014 5:20:43 PM,4435.4388,9259.1709,316.5,43,31,97.5,-5.15,6.4821,118747,632.00475,-502.125,1134.12975
635253168441219000,1/14/2014 5:20:44 PM,4435.4481,9259.1779,316.4,44,31,97.5,-4.05,6.4821,118748,632.00475,-394.875,1026.87975
635253168451389000,1/14/2014 5:20:45 PM,4435.4573,9259.1847,316.2,43,31,97.5,-4.05,6.4821,118749,632.00475,-394.875,1026.87975
635253168461490000,1/14/2014 5:20:46 PM,4435.4665,9259.1914,316.4,43,31,97.5,-4.35,6.4821,118750,632.00475,-424.125,1056.12975
635253168471640000,1/14/2014 5:20:47 PM,4435.4758,9259.1982,316.5,43,31,97.5,-3.95,6.4821,118751,632.00475,-385.125,1017.12975
635253168481781000,1/14/2014 5:20:48 PM,4435.485,9259.2051,317,44,31,97.5,-3.35,6.4821,118752,632.00475,-326.625,958.62975
635253168491922000,1/14/2014 5:20:49 PM,4435.4942,9259.2122,317.4,43,31,97.5,-3.35,6.4821,118753,632.00475,-326.625,958.62975
635253168502052000,1/14/2014 5:20:50 PM,4435.5034,9259.2191,317.3,44,31,97.5,-4.15,6.4821,118754,632.00475,-404.625,1036.62975
635253168512193000,1/14/2014 5:20:51 PM,4435.5126,9259.2263,317.6,44,31,97.5,-3.27,6.4821,118755,632.00475,-318.825,950.82975
635253168522333000,1/14/2014 5:20:52 PM,4435.5218,9259.2335,317.9,44,31,97.5,-4.05,6.4821,118756,632.00475,-394.875,1026.87975
635253168532494000,1/14/2014 5:20:53 PM,4435.5311,9259.2405,318.1,43,31,97.5,-2.52,6.4821,118757,632.00475,-245.7,877.70475
635253168542714000,1/14/2014 5:20:54 PM,4435.5404,9259.2475,318.6,44,31,97.5,-1.6,6.4821,118758,632.00475,-156,788.00475
635253168552765000,1/14/2014 5:20:55 PM,4435.5497,9259.2545,318.6,44,31,97.5,-1.4,6.2359,118759,608.00025,-136.5,744.50025
635253168562906000,1/14/2014 5:20:56 PM,4435.5591,9259.2616,318.7,44,31,97.8,-0.85,6.4655,118760,632.3259,-83.13,715.4559
635253168582857000,1/14/2014 5:20:58 PM,4435.5777,9259.276,318.4,44,31,97.8,0.25,6.4655,118761,632.3259,24.45,607.8759
635253168583217000,1/14/2014 5:20:58 PM,4435.5777,9259.276,318.4,44,31,97.8,0.25,6.3018,118762,616.31604,24.45,591.86604
635253168593297000,1/14/2014 5:20:59 PM,4435.5871,9259.2831,318.4,44,31,97.8,0.25,6.3018,118763,616.31604,24.45,591.86604
635253168603468000,1/14/2014 5:21:00 PM,4435.5964,9259.2902,318.3,44,31,97.8,6.05,6.3018,118764,616.31604,591.69,24.62604
635253168613598000,1/14/2014 5:21:01 PM,4435.6058,9259.2973,318.2,44,31,98,6.65,6.2857,118765,615.9986,651.7,-35.7014
635253168623739000,1/14/2014 5:21:02 PM,4435.6151,9259.3044,317.6,44,31,98,6.73,6.2857,118766,615.9986,659.54,-43.5414
635253168633890000,1/14/2014 5:21:03 PM,4435.6244,9259.3114,317.4,44,31,98,6.48,6.2857,118767,615.9986,635.04,-19.0414
635253168644010000,1/14/2014 5:21:04 PM,4435.6337,9259.3185,316.8,44,31,98,7.05,6.2857,118768,615.9986,690.9,-74.9014
635253168654191000,1/14/2014 5:21:05 PM,4435.6522,9259.3327,316.5,43,31,98,6.88,6.2857,118769,615.9986,674.24,-58.2414
635253168664281000,1/14/2014 5:21:06 PM,4435.6614,9259.3394,316,43,31,98,6.55,6.2857,118770,615.9986,641.9,-25.9014
635253168674712000,1/14/2014 5:21:07 PM,4435.6705,9259.3461,315.7,43,31,98,6.65,6.2857,118771,615.9986,651.7,-35.7014
635253168684623000,1/14/2014 5:21:08 PM,4435.6705,9259.3461,315.8,43,31,98,6.33,6.2857,118772,615.9986,620.34,-4.3414
635253168694713000,1/14/2014 5:21:09 PM,4435.6888,9259.36,315.1,43,31,98,6.33,6.2857,118773,615.9986,620.34,-4.3414
635253168704934000,1/14/2014 5:21:10 PM,4435.6979,9259.3671,314.9,44,31,98.2,11.95,6.2188,118774,610.68616,1173.49,-562.80384
635253168715004000,1/14/2014 5:21:11 PM,4435.7071,9259.3742,314.5,44,31,98.2,10.08,6.2392,118775,612.68944,989.856,-377.16656
635253168725145000,1/14/2014 5:21:12 PM,4435.7163,9259.3812,314.2,44,31,98,6.93,6.2551,118776,612.9998,679.14,-66.1402
635253168735275000,1/14/2014 5:21:13 PM,4435.7163,9259.3812,313.7,44,31,98,6.33,6.3571,118777,622.9958,620.34,2.6558
635253168747726000,1/14/2014 5:21:14 PM,4435.7349,9259.3946,313.3,44,31,98.5,17.53,6.3249,118778,623.00265,1726.705,-1103.70235
635253168755567000,1/14/2014 5:21:15 PM,4435.7444,9259.4017,312.6,45,31.5,98.2,10.65,-1.8219,118779,-178.91058,1045.83,-1224.74058
635253168765687000,1/14/2014 5:21:16 PM,4435.7539,9259.4085,312,44,31.5,98.2,8.28,6.2392,118780,612.68944,813.096,-200.40656
635253168775818000,1/14/2014 5:21:17 PM,4435.7634,9259.4152,311.4,44,31.5,98.2,12.85,6.2392,118781,612.68944,1261.87,-649.18056
635253168785978000,1/14/2014 5:21:18 PM,4435.7634,9259.4152,310.9,44,31.5,98,6.28,6.3776,118782,625.0048,615.44,9.5648
635253168796099000,1/14/2014 5:21:19 PM,4435.7824,9259.428,310.5,44,31.5,98,6.28,6.3776,118783,625.0048,615.44,9.5648
635253168806259000,1/14/2014 5:21:20 PM,4435.792,9259.4342,310.2,44,31.5,98.2,6.33,6.2799,118784,616.68618,621.606,-4.91982
635253168816400000,1/14/2014 5:21:21 PM,4435.8016,9259.4406,310,45,31.5,98.2,6.28,6.3003,118785,618.68946,616.696,1.99346
635253168826541000,1/14/2014 5:21:22 PM,4435.8113,9259.4469,309.5,44,31.5,98.2,6.33,6.2392,118786,612.68944,621.606,-8.91656
635253168836671000,1/14/2014 5:21:23 PM,4435.8113,9259.4469,309.3,44,31.5,98.2,6.65,6.3613,118787,624.67966,653.03,-28.35034
635253168846822000,1/14/2014 5:21:24 PM,4435.8307,9259.4591,309.4,44,31.5,98.2,6.65,6.3613,118788,624.67966,653.03,-28.35034
635253168856953000,1/14/2014 5:21:25 PM,4435.8405,9259.4651,309.5,45,31.5,98.2,6.35,6.2392,118789,612.68944,623.57,-10.88056
635253168867103000,1/14/2014 5:21:26 PM,4435.8504,9259.4711,309.7,45,31.5,98,6.35,6.3776,118790,625.0048,622.3,2.7048
635253168877224000,1/14/2014 5:21:27 PM,4435.8603,9259.4768,309.7,45,31.5,98.2,6.65,6.341,118791,622.6862,653.03,-30.3438
635253168887364000,1/14/2014 5:21:28 PM,4435.8603,9259.4768,309.6,45,31.5,98.2,6.35,6.3613,118792,624.67966,623.57,1.10966
635253168897505000,1/14/2014 5:21:29 PM,4435.8804,9259.4883,310.1,45,31.5,98.2,6.6,6.3613,118793,624.67966,648.12,-23.44034
635253168908985000,1/14/2014 5:21:30 PM,4435.8904,9259.4941,310.3,45,31.5,98.2,6.28,6.3613,118794,624.67966,616.696,7.98366
635253168917786000,1/14/2014 5:21:31 PM,4435.9005,9259.5002,311,45,31.5,98.2,6.28,6.2392,118795,612.68944,616.696,-4.00656
635253168927946000,1/14/2014 5:21:32 PM,4435.9105,9259.5058,311.4,45,31.5,98.2,6.05,6.3613,118796,624.67966,594.11,30.56966
635253168938087000,1/14/2014 5:21:33 PM,4435.9105,9259.5058,311.5,45,31.5,98.2,6.08,6.3003,118797,618.68946,597.056,21.63346
635253168948228000,1/14/2014 5:21:34 PM,4435.9305,9259.5169,311.1,44,31.5,98,0.15,6.3163,118798,618.9974,14.7,604.2974
635253168958348000,1/14/2014 5:21:35 PM,4435.9404,9259.5223,310.8,44,31.5,97.8,-2.75,6.1893,118799,605.31354,-268.95,874.26354
635253168968499000,1/14/2014 5:21:36 PM,4435.9503,9259.5276,310.2,44,31.5,97.8,-2.65,6.4143,118800,627.31854,-259.17,886.48854
635253168978629000,1/14/2014 5:21:37 PM,4435.9603,9259.5329,310.4,45,31.5,97.8,-3.72,6.4757,118801,633.32346,-363.816,997.13946
635253168988760000,1/14/2014 5:21:38 PM,4435.9603,9259.5329,309.9,45,31.5,97.8,-3.72,6.4143,118802,627.31854,-363.816,991.13454
635253168998900000,1/14/2014 5:21:39 PM,4435.9804,9259.5433,309.8,45,31.5,97.8,-2.65,6.4143,118803,627.31854,-259.17,886.48854
635253169009061000,1/14/2014 5:21:40 PM,4435.9905,9259.5486,309.5,45,31.5,97.8,-1.65,6.1176,118804,598.30128,-161.37,759.67128
635253169019182000,1/14/2014 5:21:41 PM,4436.0005,9259.5539,309.5,45,31.5,97.8,-2.88,6.4143,118805,627.31854,-281.664,908.98254
635253169029322000,1/14/2014 5:21:42 PM,4436.0106,9259.5593,309.2,45,31.5,97.8,-2.55,6.1176,118806,598.30128,-249.39,847.69128
635253169039483000,1/14/2014 5:21:43 PM,4436.0207,9259.5648,309.2,45,31.5,97.8,-2.55,6.1176,118807,598.30128,-249.39,847.69128
635253169049603000,1/14/2014 5:21:44 PM,4436.0309,9259.5702,308.9,45,31.5,97.8,-3.32,6.3632,118808,622.32096,-324.696,947.01696
635253169059764000,1/14/2014 5:21:45 PM,4436.041,9259.5759,308.7,45,31.5,97.8,-4.67,6.2404,118809,610.31112,-456.726,1067.03712
635253169073215000,1/14/2014 5:21:47 PM,4436.0512,9259.5814,308.7,45,31.5,97.5,-8,6.3795,118810,622.00125,-780,1402.00125
635253169080035000,1/14/2014 5:21:48 PM,4436.0614,9259.5872,308.7,45,31.5,97.5,-13.32,6.2974,118811,613.9965,-1298.7,1912.6965
635253169090186000,1/14/2014 5:21:49 PM,4436.0716,9259.5928,309.1,45,31.5,97.8,-6.07,6.2813,118812,614.31114,-593.646,1207.95714
635253169100326000,1/14/2014 5:21:50 PM,4436.0817,9259.5985,309.3,46,31.5,97.5,-7.25,0.1333,118813,12.99675,-706.875,719.87175
635253169110477000,1/14/2014 5:21:51 PM,4436.0919,9259.6039,309.6,45,31.5,97.5,-9.45,6.5436,118814,638.001,-921.375,1559.376
635253169120587000,1/14/2014 5:21:52 PM,4436.1021,9259.6092,309.9,45,31.5,97.5,-9.45,6.4205,118815,625.99875,-921.375,1547.37375
635253169130738000,1/14/2014 5:21:53 PM,4436.1123,9259.6144,310.4,45,31.5,97.5,-13.75,6.1128,118816,595.998,-1340.625,1936.623
635253169140879000,1/14/2014 5:21:54 PM,4436.1224,9259.6195,310.6,45,31.5,97.5,-12.92,6.4205,118817,625.99875,-1259.7,1885.69875
635253169151029000,1/14/2014 5:21:55 PM,4436.1325,9259.6247,310.4,45,31,97.2,-13.47,6.3136,118818,613.68192,-1309.284,1922.96592
635253169161170000,1/14/2014 5:21:56 PM,4436.1427,9259.6298,310.9,45,31,97.2,-14,6.0566,118819,588.70152,-1360.8,1949.50152
635253169171370000,1/14/2014 5:21:57 PM,4436.1528,9259.6346,312.5,44,31,97.2,-14.32,5.9949,118820,582.70428,-1391.904,1974.60828
635253169181431000,1/14/2014 5:21:58 PM,4436.163,9259.6391,313.6,44,31,97.2,-14.47,6.2931,118821,611.68932,-1406.484,2018.17332
635253169191562000,1/14/2014 5:21:59 PM,4436.1731,9259.6435,314.4,44,31,97.2,-14.27,6.2931,118822,611.68932,-1387.044,1998.73332
635253169201712000,1/14/2014 5:22:00 PM,4436.1832,9259.6476,315,44,31,97.2,-14.6,6.1799,118823,600.68628,-1419.12,2019.80628
635253169211873000,1/14/2014 5:22:01 PM,4436.1932,9259.6512,316.1,43,31,97.2,-12.65,6.2931,118824,611.68932,-1229.58,1841.26932
635253169221983000,1/14/2014 5:22:02 PM,4436.203,9259.6546,317.2,43,31,97.2,-12.07,6.1799,118825,600.68628,-1173.204,1773.89028
635253169237104000,1/14/2014 5:22:03 PM,4436.2129,9259.6575,318,42,31,97.2,-11.85,6.2931,118826,611.68932,-1151.82,1763.50932
635253169242285000,1/14/2014 5:22:04 PM,4436.2228,9259.6603,319.4,42,31,97.2,-11.85,6.2314,118827,605.69208,-1151.82,1757.51208
635253169252415000,1/14/2014 5:22:05 PM,4436.2326,9259.6631,320.8,42,31,97.2,-12.27,6.2314,118828,605.69208,-1192.644,1798.33608
635253169262586000,1/14/2014 5:22:06 PM,4436.2424,9259.6657,321.9,41,31,97.2,-12.05,6.4781,118829,629.67132,-1171.26,1800.93132
635253169272696000,1/14/2014 5:22:07 PM,4436.2521,9259.6681,322.7,41,31,97.2,-12.27,6.4165,118830,623.6838,-1192.644,1816.3278
635253169282847000,1/14/2014 5:22:08 PM,4436.2617,9259.6701,323.4,40,31,97.2,-11.35,6.2931,118831,611.68932,-1103.22,1714.90932
635253169292987000,1/14/2014 5:22:09 PM,4436.2712,9259.6718,323.9,40,31,97.2,-11.35,5.9332,118832,576.70704,-1103.22,1679.92704
635253169303128000,1/14/2014 5:22:10 PM,4436.2807,9259.6731,324.2,40,31,97.2,-11,5.9332,118833,576.70704,-1069.2,1645.90704
635253169313259000,1/14/2014 5:22:11 PM,4436.2902,9259.6743,324.6,40,31,97.2,-12.65,6.3548,118834,617.68656,-1229.58,1847.26656
635253169323389000,1/14/2014 5:22:12 PM,4436.2997,9259.6752,324.8,40,31,97.2,-12.65,6.1799,118835,600.68628,-1229.58,1830.26628
635253169333550000,1/14/2014 5:22:13 PM,4436.3092,9259.6761,324.5,40,31,97,-16.27,6.2474,118836,605.9978,-1578.19,2184.1878
635253169343680000,1/14/2014 5:22:14 PM,4436.3186,9259.6766,324.4,40,31,97,-17,2.5773,118837,249.9981,-1649,1898.9981
635253169353811000,1/14/2014 5:22:15 PM,4436.3282,9259.6769,324.5,40,31,97,-17,6.1753,118838,599.0041,-1649,2248.0041
635253169363941000,1/14/2014 5:22:16 PM,4436.3378,9259.6772,324.4,40,31,97,-16.45,5.9897,118839,581.0009,-1595.65,2176.6509
635253169374092000,1/14/2014 5:22:17 PM,4436.3473,9259.6771,324.8,40,31,97,-17.27,5.9278,118840,574.9966,-1675.19,2250.1866
635253169384283000,1/14/2014 5:22:18 PM,4436.357,9259.6769,325,41,31,97,-16.47,5.6289,118841,546.0033,-1597.59,2143.5933
635253169399814000,1/14/2014 5:22:19 PM,4436.3766,9259.6767,325.1,41,31,97,-14.65,5.567,118842,539.999,-1421.05,1961.049
635253169404864000,1/14/2014 5:22:20 PM,4436.3866,9259.6766,324.6,42,31,97,-14.65,5.1959,118843,504.0023,-1421.05,1925.0523
635253169414974000,1/14/2014 5:22:21 PM,4436.3966,9259.6765,324.3,42,31,97,-14.88,5.1959,118844,504.0023,-1443.36,1947.3623
635253169425115000,1/14/2014 5:22:22 PM,4436.4068,9259.6762,324.3,43,31,97,-15.4,5.0722,118845,492.0034,-1493.8,1985.8034
635253169435255000,1/14/2014 5:22:23 PM,4436.4068,9259.6762,323.9,43,31,97,-15.25,5.0206,118846,486.9982,-1479.25,1966.2482
635253169445406000,1/14/2014 5:22:24 PM,4436.4276,9259.6761,323.4,44,31,97,-15.15,5.2577,118847,509.9969,-1469.55,1979.5469
635253169455527000,1/14/2014 5:22:25 PM,4436.4381,9259.676,323.1,44,31,97,-16.92,5.2577,118848,509.9969,-1641.24,2151.2369
635253169465677000,1/14/2014 5:22:26 PM,4436.4487,9259.6757,323,44,31,97,-17.6,5.2577,118849,509.9969,-1707.2,2217.1969
635253169475828000,1/14/2014 5:22:27 PM,4436.4595,9259.6755,322.6,45,31,97,-15.8,5.2577,118850,509.9969,-1532.6,2042.5969
635253169485948000,1/14/2014 5:22:28 PM,4436.4595,9259.6755,322.3,45,31,97,-15.2,5.2577,118851,509.9969,-1474.4,1984.3969
635253169496099000,1/14/2014 5:22:29 PM,4436.4815,9259.6752,322,46,31,97,-9.47,5.2577,118852,509.9969,-918.59,1428.5869
635253169506240000,1/14/2014 5:22:30 PM,4436.4926,9259.6753,321.8,46,31,97.2,-8.88,5.2442,118853,509.73624,-863.136,1372.87224
635253169516370000,1/14/2014 5:22:31 PM,4436.5038,9259.6752,321.7,46,31,97.2,-8.88,5.2442,118854,509.73624,-863.136,1372.87224
635253169526521000,1/14/2014 5:22:32 PM,4436.5151,9259.6752,321.4,47,31,97.2,-7.52,5.2442,118855,509.73624,-730.944,1240.68024
635253169536641000,1/14/2014 5:22:33 PM,4436.5151,9259.6752,321.2,47,31,97.2,-8.12,5.2442,118856,509.73624,-789.264,1299.00024
635253169546812000,1/14/2014 5:22:34 PM,4436.5376,9259.6751,321.1,47,31,97.2,-7.15,5.2442,118857,509.73624,-694.98,1204.71624
635253169563323000,1/14/2014 5:22:36 PM,4436.5489,9259.6751,320.9,47,31,97.2,-7.88,5.2442,118858,509.73624,-765.936,1275.67224
635253169567103000,1/14/2014 5:22:36 PM,4436.5601,9259.675,320.9,47,31,97.2,-8.25,5.2442,118859,509.73624,-801.9,1311.63624
635253169577214000,1/14/2014 5:22:37 PM,4436.5714,9259.6748,320.7,47,31,97.2,-6.72,5.2442,118860,509.73624,-653.184,1162.92024
635253169587374000,1/14/2014 5:22:38 PM,4436.5714,9259.6748,320.8,47,31,97.2,-6.72,5.2442,118861,509.73624,-653.184,1162.92024
635253169597495000,1/14/2014 5:22:39 PM,4436.5939,9259.6747,320.7,47,31,97.5,-4.88,5.2308,118862,510.003,-475.8,985.803
635253169607625000,1/14/2014 5:22:40 PM,4436.6052,9259.6746,320.8,47,31,97.5,0.25,5.2308,118863,510.003,24.375,485.628
635253169617776000,1/14/2014 5:22:41 PM,4436.6165,9259.6746,320.7,47,31,97.8,3.05,5.2174,118864,510.26172,298.29,211.97172
635253169627896000,1/14/2014 5:22:42 PM,4436.6278,9259.6745,320.6,47,31,97.8,7.08,5.2174,118865,510.26172,692.424,-182.16228
635253169638037000,1/14/2014 5:22:43 PM,4436.6278,9259.6745,320.4,47,31,97.8,7.53,5.2174,118866,510.26172,736.434,-226.17228
635253169648238000,1/14/2014 5:22:44 PM,4436.6504,9259.6743,320.4,47,31,97.8,6.95,5.2174,118867,510.26172,679.71,-169.44828
635253169658428000,1/14/2014 5:22:45 PM,4436.6616,9259.6744,319.8,47,31,97.8,6.85,5.2174,118868,510.26172,669.93,-159.66828
635253169668499000,1/14/2014 5:22:46 PM,4436.6729,9259.6744,319.3,46,31,97.8,7.2,5.2174,118869,510.26172,704.16,-193.89828
635253169678629000,1/14/2014 5:22:47 PM,4436.684,9259.6743,318.8,46,31,97.8,7.2,5.2174,118870,510.26172,704.16,-193.89828
635253169688750000,1/14/2014 5:22:48 PM,4436.6951,9259.6741,318.3,46,31,97.8,7.2,5.2174,118871,510.26172,704.16,-193.89828
635253169698881000,1/14/2014 5:22:49 PM,4436.7062,9259.674,317.7,46,31,98,6.68,5.2041,118872,510.0018,654.64,-144.6382
635253169709051000,1/14/2014 5:22:50 PM,4436.7173,9259.6739,317.3,46,31,98,6.48,5.2041,118873,510.0018,635.04,-125.0382
635253169719172000,1/14/2014 5:22:51 PM,4436.7283,9259.6738,317.1,46,31,98,6.93,5.2041,118874,510.0018,679.14,-169.1382
635253169729312000,1/14/2014 5:22:52 PM,4436.7393,9259.6738,316.9,46,31,98,6.53,5.2041,118875,510.0018,639.94,-129.9382
635253169739463000,1/14/2014 5:22:53 PM,4436.7503,9259.6738,316.7,46,31,98,7.05,5.2041,118876,510.0018,690.9,-180.8982
635253169749594000,1/14/2014 5:22:54 PM,4436.7613,9259.6737,316.3,46,31,98,6.4,5.2041,118877,510.0018,627.2,-117.1982
635253169759744000,1/14/2014 5:22:55 PM,4436.7723,9259.6737,316.1,46,31,98,6.35,5.2041,118878,510.0018,622.3,-112.2982
635253169769885000,1/14/2014 5:22:56 PM,4436.7832,9259.6736,316,45,31,98,6.55,5.2041,118879,510.0018,641.9,-131.8982
635253169780025000,1/14/2014 5:22:58 PM,4436.7942,9259.6736,315.7,45,31,98,6.48,5.2041,118880,510.0018,635.04,-125.0382
